Stock Solution c_S1=0.027893829345703128,c_Ion1=0.105,c_Stot=0.3060645740716982
	0	c_Stot	c_Iontot	c_S1	c_Ion1	Mcount	Scount	Ioncount
73	0.05575	0.07638471800726893	0.07640752485087238	0.039988647460937506	0.05575	0.0005079284834892077	0.020079872946285424	0.011595652577133686
74	0.0565	0.07881061781982143	0.07886623674195536	0.039795532226562506	0.0565	0.0005701800201133651	0.022682422166510605	0.013230953504169682
75	0.05725	0.08137668577333257	0.08143327945776659	0.039596984863281254	0.05725	0.0006357181605390777	0.02543559076227111	0.014977431676177391
76	0.057999999999999996	0.08406642380382225	0.08409878543282781	0.03939355468750001	0.058	0.0007041217753307994	0.028321979701520443	0.016825116644635624
77	0.05875	0.08686163746198122	0.08685147744604571	0.039185791015625	0.05875	0.0007749364062769328	0.03132248729511775	0.01876262013356811
78	0.0595	0.08974343696231492	0.08967930017951879	0.03897424316406249	0.0595	0.000847697580013569	0.03441731080412818	0.020777767728932847
79	0.06025	0.09238643180891759	0.09238739577970123	0.03875210571289063	0.06025	0.0009148511302630576	0.037292623028989606	0.022677769743139994
80	0.061	0.0950187231740781	0.09510668819164658	0.038527099609375004	0.061	0.0009816566845190842	0.04016345359509272	0.02459132401978649
81	0.06175	0.09798964081943982	0.09804677073314327	0.03830731201171875	0.06175	0.001056197341695387	0.04336539141198761	0.026725583458651475
82	0.0625	0.10098420145555934	0.10101864963445828	0.0380859375	0.0625	0.0011311762074443408	0.0465950026334786	0.02889359926567732
83	0.06325	0.10399676655228525	0.10401756297081335	0.037863525390625	0.06325	0.0012064597082357958	0.04984571408112152	0.03109045207457302
84	0.064	0.10702731472609323	0.10704230164499297	0.037640625000000004	0.064	0.0012820468621315302	0.053116566373388754	0.03331476800754343
85	0.06475	0.11008224936122732	0.110095808667445	0.03741778564453124	0.06475	0.0013580871343717843	0.056413021760428096	0.035569318047772025
86	0.0655	0.11317513762947337	0.11318573764931114	0.037195556640624995	0.0655	0.0014348967490785433	0.05974770330319128	0.037861576615097245
87	0.06625	0.1163274200769453	0.11632499435535565	0.03697448730468751	0.06625	0.001512974391595049	0.06314110456430634	0.040204263190830855
88	0.067	0.11956914814219713	0.11953229795219186	0.036755126953124995	0.067	0.0015930176464597622	0.06662232717404283	0.04261590362610601
89	0.06775	0.12293982549082695	0.1228328118018064	0.036538024902343744	0.06775	0.0016759419339352072	0.07022992215559973	0.04512146098275009
90	0.0685	0.12575566401248012	0.1257899283964692	0.03631536865234376	0.0685	0.00174594718568825	0.07329346070549983	0.04728691370373686
91	0.06925	0.12910244043818495	0.12909517063504566	0.036100112915039076	0.06925	0.0018281334618193345	0.07687654102329648	0.04979946693209253
92	0.07	0.13270585845990923	0.13257565952150374	0.03588867187500001	0.07	0.0019161583967777472	0.0807109796477361	0.05248738962346161
93	0.07075	0.1353237131670734	0.13542862405714756	0.03566864013671874	0.07075	0.0019813455948445476	0.08357583583789963	0.054552133975520556
94	0.0715	0.13914199726114945	0.13906677077437482	0.03546197509765625	0.0715	0.0020741665029881356	0.087619427259417	0.057398873749020404
95	0.07225	0.1424467249126864	0.1423804409843203	0.035251861572265626	0.07225	0.0021550593431382834	0.09115660471151363	0.05992370394223519
96	0.073	0.14570502298366333	0.1456713147194148	0.03504302978515624	0.073	0.002234812317752425	0.0946463682704677	0.06242666551859907
97	0.07375	0.14895298855760553	0.14896243260169173	0.034835891723632814	0.07375	0.0023142627296942474	0.09812409515755295	0.06493063824839308
98	0.0745	0.15223530090750828	0.1522828726016152	0.034630859375	0.0745	0.0023944444738251565	0.10163374264674245	0.0674645341502713
99	0.07525	0.1556055471649028	0.15566802721215062	0.0344283447265625	0.07525	0.0024765954122950855	0.10522817368120177	0.07006357468703174
100	0.076	0.15912678585769502	0.15916004010885765	0.034228759765625005	0.076	0.0025621703088674255	0.10896972032419125	0.07276972743800787
101	0.105	0.3060645740716982	0.30603039241648633	0.027893829345703128	0.105	0.006102874354646213	0.2628104360473023	0.18956828849233026
